Ref,Val,Package,PosX,PosY,Rot,Side
"C75","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-109.000000,-22.000000,180.000000,bottom
"C76","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-37.000000,-25.000000,180.000000,bottom
"C77","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-40.000000,-25.000000,180.000000,bottom
"C78","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-43.000000,-25.000000,180.000000,bottom
"C79","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-46.000000,-25.000000,180.000000,bottom
"C80","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-25.000000,180.000000,bottom
"C81","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-25.000000,180.000000,bottom
"C82","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-25.000000,180.000000,bottom
"C83","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-58.000000,-25.000000,180.000000,bottom
"C84","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-61.000000,-25.000000,180.000000,bottom
"C85","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-64.000000,-25.000000,180.000000,bottom
"C86","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-67.000000,-25.000000,180.000000,bottom
"C87","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-70.000000,-25.000000,180.000000,bottom
"C88","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-73.000000,-25.000000,180.000000,bottom
"C89","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-76.000000,-25.000000,180.000000,bottom
"C90","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-79.000000,-25.000000,180.000000,bottom
"C91","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-82.000000,-25.000000,180.000000,bottom
"C92","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-85.000000,-25.000000,180.000000,bottom
"C93","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-88.000000,-25.000000,180.000000,bottom
"C94","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-91.000000,-25.000000,180.000000,bottom
"C95","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-94.000000,-25.000000,180.000000,bottom
"C96","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-97.000000,-25.000000,180.000000,bottom
"C97","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-100.000000,-25.000000,180.000000,bottom
"C98","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-103.000000,-25.000000,180.000000,bottom
"C99","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-106.000000,-25.000000,180.000000,bottom
"C100","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-109.000000,-25.000000,180.000000,bottom
"C101","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-37.000000,-28.000000,180.000000,bottom
"C102","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-40.000000,-28.000000,180.000000,bottom
"C103","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-43.000000,-28.000000,180.000000,bottom
"C104","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-46.000000,-28.000000,180.000000,bottom
"C105","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-28.000000,180.000000,bottom
"C106","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-28.000000,180.000000,bottom
"C107","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-28.000000,180.000000,bottom
"C108","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-58.000000,-28.000000,180.000000,bottom
"C109","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-61.000000,-28.000000,180.000000,bottom
"C110","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-64.000000,-28.000000,180.000000,bottom
"C111","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-67.000000,-28.000000,180.000000,bottom
"C112","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-70.000000,-28.000000,180.000000,bottom
"C113","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-73.000000,-28.000000,180.000000,bottom
"C114","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-76.000000,-28.000000,180.000000,bottom
"C115","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-79.000000,-28.000000,180.000000,bottom
"C116","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-82.000000,-28.000000,180.000000,bottom
"C117","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-85.000000,-28.000000,180.000000,bottom
"C118","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-88.000000,-28.000000,180.000000,bottom
"C119","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-91.000000,-28.000000,180.000000,bottom
"C120","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-94.000000,-28.000000,180.000000,bottom
"C121","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-97.000000,-28.000000,180.000000,bottom
"C122","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-100.000000,-28.000000,180.000000,bottom
"C123","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-103.000000,-28.000000,180.000000,bottom
"C124","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-106.000000,-28.000000,180.000000,bottom
"C125","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-109.000000,-28.000000,180.000000,bottom
"C126","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-37.000000,-31.000000,180.000000,bottom
"C127","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-40.000000,-31.000000,180.000000,bottom
"C128","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-43.000000,-31.000000,180.000000,bottom
"C129","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-46.000000,-31.000000,180.000000,bottom
"C130","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-31.000000,180.000000,bottom
"C131","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-31.000000,180.000000,bottom
"C132","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-31.000000,180.000000,bottom
"C133","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-58.000000,-31.000000,180.000000,bottom
"C134","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-61.000000,-31.000000,180.000000,bottom
"C135","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-64.000000,-31.000000,180.000000,bottom
"C136","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-67.000000,-31.000000,180.000000,bottom
"C137","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-70.000000,-31.000000,180.000000,bottom
"C138","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-73.000000,-31.000000,180.000000,bottom
"C139","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-76.000000,-31.000000,180.000000,bottom
"C140","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-79.000000,-31.000000,180.000000,bottom
"C141","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-82.000000,-31.000000,180.000000,bottom
"C142","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-85.000000,-31.000000,180.000000,bottom
"C143","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-88.000000,-31.000000,180.000000,bottom
"C144","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-91.000000,-31.000000,180.000000,bottom
"C145","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-94.000000,-31.000000,180.000000,bottom
"C146","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-97.000000,-31.000000,180.000000,bottom
"C147","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-100.000000,-31.000000,180.000000,bottom
"C148","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-103.000000,-31.000000,180.000000,bottom
"C149","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-106.000000,-31.000000,180.000000,bottom
"C150","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-109.000000,-31.000000,180.000000,bottom
"C151","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-37.000000,-34.000000,180.000000,bottom
"C152","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-40.000000,-34.000000,180.000000,bottom
"C153","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-43.000000,-34.000000,180.000000,bottom
"C154","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-46.000000,-34.000000,180.000000,bottom
"C155","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-34.000000,180.000000,bottom
"C156","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-34.000000,180.000000,bottom
"C157","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-34.000000,180.000000,bottom
"C158","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-58.000000,-34.000000,180.000000,bottom
"C159","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-61.000000,-34.000000,180.000000,bottom
"C160","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-64.000000,-34.000000,180.000000,bottom
"C161","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-67.000000,-34.000000,180.000000,bottom
"C162","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-70.000000,-34.000000,180.000000,bottom
"C163","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-73.000000,-34.000000,180.000000,bottom
"C164","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-76.000000,-34.000000,180.000000,bottom
"C165","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-79.000000,-34.000000,180.000000,bottom
"C166","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-82.000000,-34.000000,180.000000,bottom
"C167","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-85.000000,-34.000000,180.000000,bottom
"C168","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-88.000000,-34.000000,180.000000,bottom
"C169","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-91.000000,-34.000000,180.000000,bottom
"C170","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-94.000000,-34.000000,180.000000,bottom
"C171","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-97.000000,-34.000000,180.000000,bottom
"C172","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-100.000000,-34.000000,180.000000,bottom
"C173","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-103.000000,-34.000000,180.000000,bottom
"C174","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-106.000000,-34.000000,180.000000,bottom
"C175","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-109.000000,-34.000000,180.000000,bottom
"C176","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-37.000000,-37.000000,180.000000,bottom
"C177","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-40.000000,-37.000000,180.000000,bottom
"C178","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-43.000000,-37.000000,180.000000,bottom
"C179","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-46.000000,-37.000000,180.000000,bottom
"C180","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-37.000000,180.000000,bottom
"C181","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-37.000000,180.000000,bottom
"C182","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-37.000000,180.000000,bottom
"C183","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-58.000000,-37.000000,180.000000,bottom
"C184","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-61.000000,-37.000000,180.000000,bottom
"C185","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-64.000000,-37.000000,180.000000,bottom
"C186","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-67.000000,-37.000000,180.000000,bottom
"C187","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-70.000000,-37.000000,180.000000,bottom
"C188","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-73.000000,-37.000000,180.000000,bottom
"C189","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-76.000000,-37.000000,180.000000,bottom
"C190","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-79.000000,-37.000000,180.000000,bottom
"C191","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-82.000000,-37.000000,180.000000,bottom
"C192","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-85.000000,-37.000000,180.000000,bottom
"C193","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-88.000000,-37.000000,180.000000,bottom
"C194","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-91.000000,-37.000000,180.000000,bottom
"C195","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-94.000000,-37.000000,180.000000,bottom
"C196","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-97.000000,-37.000000,180.000000,bottom
"C197","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-100.000000,-37.000000,180.000000,bottom
"C198","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-103.000000,-37.000000,180.000000,bottom
"C199","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-106.000000,-37.000000,180.000000,bottom
"C200","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-109.000000,-37.000000,180.000000,bottom
"C201","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-37.000000,-40.000000,180.000000,bottom
"C202","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-40.000000,-40.000000,180.000000,bottom
"C203","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-43.000000,-40.000000,180.000000,bottom
"C204","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-46.000000,-40.000000,180.000000,bottom
"C205","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-40.000000,180.000000,bottom
"C206","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-40.000000,180.000000,bottom
"C207","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-40.000000,180.000000,bottom
"C208","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-58.000000,-40.000000,180.000000,bottom
"C209","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-61.000000,-40.000000,180.000000,bottom
"C210","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-64.000000,-40.000000,180.000000,bottom
"C211","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-67.000000,-40.000000,180.000000,bottom
"C212","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-70.000000,-40.000000,180.000000,bottom
"C213","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-73.000000,-40.000000,180.000000,bottom
"C214","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-76.000000,-40.000000,180.000000,bottom
"C215","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-79.000000,-40.000000,180.000000,bottom
"C216","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-82.000000,-40.000000,180.000000,bottom
"C217","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-85.000000,-40.000000,180.000000,bottom
"C218","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-88.000000,-40.000000,180.000000,bottom
"C219","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-91.000000,-40.000000,180.000000,bottom
"C220","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-94.000000,-40.000000,180.000000,bottom
"C221","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-97.000000,-40.000000,180.000000,bottom
"C222","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-100.000000,-40.000000,180.000000,bottom
"C223","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-103.000000,-40.000000,180.000000,bottom
"C224","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-106.000000,-40.000000,180.000000,bottom
"C225","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-109.000000,-40.000000,180.000000,bottom
"C226","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-37.000000,-43.000000,180.000000,bottom
"C227","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-40.000000,-43.000000,180.000000,bottom
"C228","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-43.000000,-43.000000,180.000000,bottom
"C229","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-46.000000,-43.000000,180.000000,bottom
"C230","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-43.000000,180.000000,bottom
"C231","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-43.000000,180.000000,bottom
"C232","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-43.000000,180.000000,bottom
"C233","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-58.000000,-43.000000,180.000000,bottom
"C234","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-61.000000,-43.000000,180.000000,bottom
"C235","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-64.000000,-43.000000,180.000000,bottom
"C236","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-67.000000,-43.000000,180.000000,bottom
"C237","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-70.000000,-43.000000,180.000000,bottom
"C238","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-73.000000,-43.000000,180.000000,bottom
"C239","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-76.000000,-43.000000,180.000000,bottom
"C240","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-79.000000,-43.000000,180.000000,bottom
